,amount
0,30.0
1,30.0
2,30.0
3,20.0
4,100.0
5,12.0
6,20.0
7,10.0
8,20.0
9,10.0
10,10.0
11,10.0
12,10.0
13,15.0
14,20.0
15,10.0
16,200.0
17,50.0
18,10.0
19,20.0
20,10.0
21,50.0
22,20.0
23,20.0
24,40.0
25,25.0
26,30.0
27,30.0
28,20.0
29,20.0
30,20.0
31,20.0
32,40.0
33,30.0
34,10.0
35,30.0
36,20.0
37,100.0
38,20.0
39,13.0
40,20.0
41,50.0
42,20.0
43,10.0
44,20.0
45,50.0
46,10.0
47,100.0
48,200.0
49,10.0
50,1.0
51,10.0
52,40.0
53,20.0
54,20.0
55,50.0
56,15.0
57,10.0
58,20.0
59,10.0
60,10.0
61,10.0
62,10.0
63,20.0
64,20.0
65,20.0
66,10.0
67,10.0
68,20.0
69,10.0
70,50.0
71,20.0
72,20.0
73,50.0
74,10.0
75,20.0
76,50.0
77,200.0
78,25.0
